Link,Summary Percent,OG TS Length,Summ. TS Length,Length Ratio,Percent/Ratio,,
https://www.rev.com/blog/transcripts/house-gop-leaders-detail-new-steps-to-take-on-doj-transcript,100,25328,25328,1,1,,
https://www.rev.com/blog/transcripts/house-gop-leaders-detail-new-steps-to-take-on-doj-transcript,90,25328,25229,0.996091282,0.90353165,0.907126544,=
https://www.rev.com/blog/transcripts/house-gop-leaders-detail-new-steps-to-take-on-doj-transcript,80,25328,24545,0.969085597,0.825520473,0.829487761,
https://www.rev.com/blog/transcripts/house-gop-leaders-detail-new-steps-to-take-on-doj-transcript,70,25328,23003,0.908204359,0.770751641,0.759315787,
https://www.rev.com/blog/transcripts/house-gop-leaders-detail-new-steps-to-take-on-doj-transcript,60,25328,21016,0.829753632,0.723106205,0.696054019,
https://www.rev.com/blog/transcripts/house-gop-leaders-detail-new-steps-to-take-on-doj-transcript,50,25328,18147,0.716479785,0.697856395,0.644167452,
https://www.rev.com/blog/transcripts/house-gop-leaders-detail-new-steps-to-take-on-doj-transcript,40,25328,15952,0.629816804,0.635105316,0.601398422,
https://www.rev.com/blog/transcripts/house-gop-leaders-detail-new-steps-to-take-on-doj-transcript,30,25328,11812,0.466361339,0.643278022,0.578178949,
https://www.rev.com/blog/transcripts/house-gop-leaders-detail-new-steps-to-take-on-doj-transcript,20,25328,8273,0.326634555,0.612305089,0.549550064,
https://www.rev.com/blog/transcripts/house-gop-leaders-detail-new-steps-to-take-on-doj-transcript,10,25328,4634,0.18295957,0.546568839,0.520926673,
https://www.rev.com/blog/transcripts/mccarthy-slams-biden-over-border-after-debt-limit-meeting-transcript,100,16509,16509,1,1,,
https://www.rev.com/blog/transcripts/mccarthy-slams-biden-over-border-after-debt-limit-meeting-transcript,90,16509,16173,0.979647465,0.91869783,,
https://www.rev.com/blog/transcripts/mccarthy-slams-biden-over-border-after-debt-limit-meeting-transcript,80,16509,15342,0.929311285,0.860852562,,
https://www.rev.com/blog/transcripts/mccarthy-slams-biden-over-border-after-debt-limit-meeting-transcript,70,16509,14000,0.848022291,0.82545,,
https://www.rev.com/blog/transcripts/mccarthy-slams-biden-over-border-after-debt-limit-meeting-transcript,60,16509,12453,0.754315828,0.79542279,,
https://www.rev.com/blog/transcripts/mccarthy-slams-biden-over-border-after-debt-limit-meeting-transcript,50,16509,10981,0.665152341,0.751707495,,
https://www.rev.com/blog/transcripts/mccarthy-slams-biden-over-border-after-debt-limit-meeting-transcript,40,16509,9456,0.572778484,0.698350254,,
